is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,90..31|last 3 months,180..91|last 6 months,<180|more than 6 months
2022-03-22,14,20,27,31,54,323,0,0
2022-03-21,11,22,23,30,51,322,0,0
2022-03-20,20,19,16,31,52,332,0,0
2022-03-19,14,28,15,29,53,334,0,0
2022-03-18,15,31,18,27,56,335,0,0
2022-03-17,23,15,24,27,59,329,0,0
2022-03-16,15,10,22,25,52,327,0,0
2022-03-15,10,11,18,33,59,321,0,0
2022-03-14,6,19,12,31,60,320,0,0
2022-03-13,12,28,18,28,58,320,0,0
2022-03-12,21,16,19,25,59,318,0,0
2022-03-11,20,16,21,29,67,316,0,0
2022-03-10,14,22,20,29,64,317,0,0
2022-03-09,21,18,18,28,63,314,0,0
2022-03-08,16,15,19,29,67,316,0,0
2022-03-07,11,25,20,29,67,315,0,0
2022-03-06,11,26,19,27,67,318,0,0
2022-03-05,25,15,16,25,62,319,0,0
2022-03-04,19,19,15,31,62,319,0,0
2022-03-03,17,24,17,31,68,321,0,0
2022-03-02,26,14,20,32,63,323,0,0
2022-03-01,15,11,21,36,63,325,0,0
2022-02-28,12,22,22,37,57,328,0,0
2022-02-27,14,18,17,42,59,328,0,0
2022-02-26,19,17,19,43,66,324,0,0
2022-02-25,11,25,24,35,69,326,0,0
2022-02-24,22,19,35,35,67,325,0,0
2022-02-23,20,14,33,36,69,321,0,0
2022-02-22,18,25,28,37,69,322,0,0
2022-02-21,14,30,20,30,67,320,0,0
2022-02-20,18,35,26,34,72,318,0,0
2022-02-19,22,29,27,37,69,328,0,0
2022-02-18,27,22,25,37,74,326,0,0
2022-02-17,16,22,20,33,75,328,0,0
2022-02-16,17,25,25,34,68,336,0,0
2022-02-15,13,22,31,39,71,335,0,0
2022-02-14,16,16,26,37,75,332,0,0
2022-02-13,12,21,26,37,72,335,0,0
2022-02-12,16,29,23,37,67,340,0,0
2022-02-11,23,28,27,40,60,344,0,0
2022-02-10,23,20,19,43,57,346,0,0
2022-02-09,23,26,25,39,60,345,0,0
2022-02-08,14,24,29,36,58,344,0,0
2022-02-07,19,22,30,43,60,347,0,0
2022-02-06,13,22,27,43,59,351,0,0
2022-02-05,16,24,22,37,54,352,0,0
2022-02-04,16,29,24,33,58,348,0,0
2022-02-03,18,27,29,32,53,349,0,0
2022-02-02,22,21,29,37,57,344,0,0
2022-02-01,17,16,25,35,58,348,0,0
2022-01-31,13,30,27,35,56,348,0,0
2022-01-30,13,41,27,34,51,360,0,0
2022-01-29,30,30,29,34,50,362,0,0
2022-01-28,28,24,27,38,57,356,0,0
2022-01-27,15,25,23,32,61,355,0,0
2022-01-26,18,22,24,31,62,352,0,0
2022-01-25,16,18,23,32,62,354,0,0
2022-01-24,16,29,25,36,62,352,0,0
2022-01-23,18,23,19,32,64,350,0,0
2022-01-22,22,26,21,32,65,350,0,0
2022-01-21,21,33,25,32,67,349,0,0
2022-01-20,28,19,26,33,64,354,0,0
2022-01-19,16,18,23,37,70,358,0,0
2022-01-18,17,30,30,32,66,359,0,0
2022-01-17,13,34,35,33,67,359,0,0
2022-01-16,22,23,34,35,72,355,0,0
2022-01-15,16,33,31,33,76,356,0,0
2022-01-14,23,35,23,25,82,355,0,0
2022-01-13,21,34,23,23,75,352,0,0
2022-01-12,20,37,27,36,74,348,0,0
2022-01-11,25,20,22,35,71,346,0,0
2022-01-10,15,16,22,42,75,342,0,0
2022-01-09,9,23,19,45,78,337,0,0
2022-01-08,14,28,20,50,77,336,0,0
2022-01-07,22,16,10,54,78,335,0,0
2022-01-06,16,17,12,47,73,336,0,0
2022-01-05,9,23,28,44,77,332,0,0
2022-01-04,22,10,41,42,78,329,0,0
2022-01-03,7,7,47,43,81,324,0,0
2022-01-02,6,15,33,43,73,327,0,0
2022-01-01,8,40,24,45,67,329,0,0
2021-12-31,14,44,25,52,66,326,0,0
2021-12-30,29,30,20,48,63,328,0,0
2021-12-29,24,22,29,48,58,325,0,0
2021-12-28,17,19,27,52,57,323,0,0
2021-12-27,14,23,32,51,58,320,0,0
2021-12-26,6,22,27,39,55,318,0,0
2021-12-25,20,17,30,35,52,315,0,0
2021-12-24,10,24,30,34,54,310,0,0
2021-12-23,14,31,32,32,53,312,0,0
2021-12-22,18,20,24,27,56,307,0,0
2021-12-21,19,23,23,26,51,308,0,0
2021-12-20,9,27,24,30,48,307,0,0
2021-12-19,21,24,28,28,47,301,0,0
2021-12-18,28,19,24,32,49,304,0,0
2021-12-17,12,37,24,29,51,302,0,0
2021-12-16,18,36,21,29,49,300,0,0
2021-12-15,39,27,17,36,50,301,0,0
2021-12-14,20,25,15,29,48,301,0,0
2021-12-13,14,25,22,28,51,297,0,0
2021-12-12,24,21,22,20,50,302,0,0
2021-12-11,19,33,34,27,52,307,0,0
2021-12-10,19,21,26,27,50,312,0,0
2021-12-09,19,20,21,26,46,316,0,0
2021-12-08,13,28,17,33,48,316,0,0
2021-12-07,16,32,14,31,46,316,0,0
2021-12-06,21,26,18,31,46,316,0,0
2021-12-05,21,16,21,29,49,319,0,0
2021-12-04,13,15,23,29,47,321,0,0
2021-12-03,16,20,24,29,56,317,0,0
2021-12-02,12,21,22,24,55,317,0,0
2021-12-01,15,28,26,28,50,319,0,0
2021-11-30,19,28,20,28,52,317,0,0
2021-11-29,21,25,17,29,54,317,0,0
2021-11-28,14,27,10,28,50,315,0,0
2021-11-27,26,25,13,26,51,313,0,0
2021-11-26,18,18,20,29,51,312,0,0
2021-11-25,20,11,24,28,56,314,0,0
2021-11-24,6,10,21,25,65,305,0,0
2021-11-23,12,13,14,29,62,307,0,0
2021-11-22,8,23,11,28,64,305,0,0
2021-11-21,13,21,14,23,64,308,0,0
2021-11-20,20,16,18,17,64,305,0,0
2021-11-19,12,19,22,24,64,302,0,0
2021-11-18,9,15,22,33,63,299,0,0
2021-11-17,18,14,18,41,65,295,0,0
2021-11-16,9,25,18,41,66,296,0,0
2021-11-15,13,28,17,40,62,295,0,0
2021-11-14,19,25,17,44,63,292,0,0
2021-11-13,17,17,13,36,70,289,0,0
2021-11-12,12,17,21,29,67,286,0,0
2021-11-11,15,15,27,26,68,286,0,0
2021-11-10,11,15,33,24,66,285,0,0
2021-11-09,18,13,28,27,63,288,0,0
2021-11-08,8,19,21,31,63,290,0,0
2021-11-07,10,27,19,31,63,288,0,0
2021-11-06,21,25,15,35,67,286,0,0
2021-11-05,22,24,11,27,64,284,0,0
2021-11-04,18,14,15,29,67,276,0,0
2021-11-03,11,16,18,29,61,275,0,0
2021-11-02,12,15,22,28,55,275,0,0
2021-11-01,16,11,24,33,58,273,0,0
2021-10-31,7,17,19,32,67,276,0,0
2021-10-30,14,23,17,33,64,275,0,0
2021-10-29,19,18,13,35,60,271,0,0
2021-10-28,11,19,19,36,58,269,0,0
2021-10-27,11,18,21,35,54,271,0,0
2021-10-26,20,16,23,34,50,270,0,0
2021-10-25,8,18,26,40,50,268,0,0
2021-10-24,14,18,19,42,52,269,0,0
2021-10-23,15,24,15,39,51,276,0,0
2021-10-22,14,29,18,34,52,274,0,0
2021-10-21,24,29,26,33,52,276,0,0
2021-10-20,20,23,26,28,43,281,0,0
2021-10-19,20,14,26,31,45,281,0,0
2021-10-18,12,20,23,27,52,274,0,0
2021-10-17,20,26,25,29,50,274,0,0
2021-10-16,21,24,19,28,45,274,0,0
2021-10-15,23,20,15,30,46,276,0,0
2021-10-14,14,23,13,32,43,276,0,0
2021-10-13,19,24,14,27,43,273,0,0
2021-10-12,27,11,23,27,43,273,0,0
2021-10-11,16,15,24,28,45,271,0,0
2021-10-10,10,20,22,28,48,268,0,0
2021-10-09,13,21,12,26,47,268,0,0
2021-10-08,21,23,17,29,51,272,0,0
2021-10-07,11,24,23,25,52,268,0,0
2021-10-06,20,17,23,26,57,267,0,0
2021-10-05,17,24,23,26,61,270,0,0
2021-10-04,15,34,23,26,63,280,0,0
2021-10-03,18,26,20,23,59,284,0,0
2021-10-02,23,21,20,25,61,284,0,0
2021-10-01,16,28,23,27,64,285,0,0
2021-09-30,17,29,21,26,60,288,0,0
2021-09-29,22,20,18,30,63,286,0,0
2021-09-28,12,24,12,29,64,282,0,0
2021-09-27,12,25,15,27,64,279,0,0
2021-09-26,15,18,17,27,62,279,0,0
2021-09-25,20,13,21,31,59,277,0,0
2021-09-24,8,17,22,37,57,272,0,0
2021-09-23,11,13,24,37,65,265,0,0
2021-09-22,13,23,27,41,62,264,0,0
2021-09-21,13,23,22,42,59,264,0,0
2021-09-20,13,20,14,41,58,265,0,0
2021-09-19,14,29,13,39,59,263,0,0
2021-09-18,12,35,20,33,53,263,0,0
2021-09-17,21,27,32,35,54,269,0,0
2021-09-16,29,15,34,38,58,268,0,0
2021-09-15,9,21,28,34,59,270,0,0
2021-09-14,9,29,23,27,60,269,0,0
2021-09-13,17,28,23,27,59,266,0,0
2021-09-12,16,30,27,26,55,267,0,0
2021-09-11,22,24,26,26,60,271,0,0
2021-09-10,17,23,24,24,53,273,0,0
2021-09-09,13,25,21,28,48,270,0,0
2021-09-08,17,24,18,35,43,271,0,0
2021-09-07,17,18,14,40,47,269,0,0
2021-09-06,14,21,15,36,45,273,0,0
2021-09-05,12,18,21,34,42,272,0,0
2021-09-04,11,16,25,37,39,272,0,0
2021-09-03,12,18,21,33,39,272,0,0
2021-09-02,15,27,22,26,36,276,0,0
2021-09-01,18,25,27,22,38,275,0,0
2021-08-31,29,26,33,23,37,277,0,0
2021-08-30,15,24,27,24,34,275,0,0
2021-08-29,15,31,21,28,36,274,0,0
2021-08-28,20,29,16,27,39,273,0,0
2021-08-27,15,37,21,27,39,274,0,0
2021-08-26,24,23,18,31,44,273,0,0
2021-08-25,22,21,16,27,42,276,0,0
2021-08-24,11,19,15,28,44,276,0,0
2021-08-23,14,19,15,27,48,272,0,0
2021-08-22,12,28,23,26,52,270,0,0
2021-08-21,18,21,24,25,52,271,0,0
2021-08-20,14,16,19,21,57,270,0,0
2021-08-19,13,22,23,22,57,270,0,0
2021-08-18,10,23,17,19,58,271,0,0
2021-08-17,16,24,21,15,57,275,0,0
2021-08-16,15,18,17,17,56,278,0,0
2021-08-15,12,23,18,22,59,276,0,0
2021-08-14,10,18,14,24,60,277,0,0
2021-08-13,23,13,10,26,51,277,0,0
2021-08-12,5,24,13,36,49,278,0,0
2021-08-11,15,23,13,41,47,277,0,0
2021-08-10,17,12,10,41,46,273,0,0
2021-08-09,7,12,11,42,47,272,0,0
2021-08-08,6,15,15,39,45,274,0,0
2021-08-07,13,12,19,35,46,269,0,0
2021-08-06,13,19,20,30,48,268,0,0
2021-08-05,14,17,28,28,43,268,0,0
2021-08-04,18,13,27,26,48,267,0,0
2021-08-03,11,15,26,24,49,268,0,0
2021-08-02,7,29,22,25,50,274,0,0
2021-08-01,14,31,21,25,51,273,0,0
2021-07-31,19,23,18,26,48,275,0,0
2021-07-30,22,26,17,31,49,273,0,0
2021-07-29,19,23,16,29,52,277,0,0
2021-07-28,19,20,17,27,55,278,0,0
2021-07-27,16,25,17,23,58,280,0,0
2021-07-26,15,20,18,19,56,279,0,0
2021-07-25,14,12,15,19,51,285,0,0
2021-07-24,10,20,17,22,50,286,0,0
2021-07-23,18,21,20,23,48,287,0,0
2021-07-22,15,22,17,26,46,285,0,0
2021-07-21,14,24,17,33,51,286,0,0
2021-07-20,17,18,11,30,51,285,0,0
2021-07-19,15,21,8,30,54,284,0,0
2021-07-18,14,21,12,26,62,276,0,0
2021-07-17,16,16,19,28,61,278,0,0
2021-07-16,17,13,22,29,66,273,0,0
2021-07-15,13,9,22,24,63,271,0,0
2021-07-14,10,17,24,33,62,271,0,0
2021-07-13,13,24,19,34,64,266,0,0
2021-07-12,12,22,17,38,62,267,0,0
2021-07-11,18,19,11,36,64,267,0,0
2021-07-10,13,24,20,28,66,265,0,0
2021-07-09,12,15,27,29,66,265,0,0
2021-07-08,23,14,27,26,68,271,0,0
2021-07-07,11,16,28,24,68,270,0,0
2021-07-06,11,16,18,25,71,269,0,0
2021-07-05,15,28,24,25,74,269,0,0
2021-07-04,14,20,21,27,75,269,0,0
2021-07-03,20,17,20,28,69,268,0,0
2021-07-02,11,18,17,35,68,272,0,0
2021-07-01,19,15,18,40,66,272,0,0
2021-06-30,8,21,17,43,62,271,0,0
2021-06-29,12,24,19,45,66,265,0,0
2021-06-28,18,13,18,44,67,263,0,0
2021-06-27,7,16,18,46,67,264,0,0
2021-06-26,10,16,18,36,66,264,0,0
2021-06-25,12,16,28,38,64,265,0,0
2021-06-24,10,18,32,36,68,261,0,0
2021-06-23,16,15,34,35,64,258,0,0
2021-06-22,12,16,36,37,67,263,0,0
2021-06-21,10,30,34,39,68,260,0,0
2021-06-20,14,31,27,43,63,260,0,0
2021-06-19,24,34,24,46,65,256,0,0
2021-06-18,18,31,24,43,67,254,0,0
2021-06-17,30,21,23,45,69,253,0,0
2021-06-16,14,26,30,37,68,253,0,0
2021-06-15,19,20,31,36,75,250,0,0
2021-06-14,18,19,29,33,73,247,0,0
2021-06-13,7,24,26,30,72,241,0,0
2021-06-12,21,23,23,35,72,237,0,0
2021-06-11,13,27,21,35,67,238,0,0
2021-06-10,13,27,24,40,69,238,0,0
2021-06-09,20,22,22,37,66,233,0,0
2021-06-08,22,22,25,44,62,233,0,0
2021-06-07,15,27,21,45,60,234,0,0
2021-06-06,18,27,23,41,64,234,0,0
2021-06-05,17,25,21,37,67,232,0,0
2021-06-04,24,27,29,32,67,230,0,0
2021-06-03,17,29,32,36,67,229,0,0
2021-06-02,30,16,29,32,69,227,0,0
2021-06-01,14,20,28,31,72,222,0,0
2021-05-31,10,23,26,31,69,221,0,0
2021-05-30,16,27,23,37,66,222,0,0
2021-05-29,16,25,16,39,61,219,0,0
2021-05-28,17,24,18,40,59,216,0,0
2021-05-27,19,22,22,40,60,217,0,0
2021-05-26,28,21,26,38,60,215,0,0
2021-05-25,19,14,22,39,57,213,0,0
2021-05-24,11,18,18,36,58,213,0,0
2021-05-23,9,25,20,31,58,211,0,0
2021-05-22,16,24,23,26,55,210,0,0
2021-05-21,18,17,31,24,49,209,0,0
2021-05-20,18,14,31,31,47,209,0,0
2021-05-19,9,24,27,33,48,212,0,0
2021-05-18,16,29,19,32,44,214,0,0
2021-05-17,21,33,18,40,42,214,0,0
2021-05-16,19,31,16,39,42,212,0,0
2021-05-15,25,21,15,38,44,213,0,0
2021-05-14,16,22,14,34,39,213,0,0
2021-05-13,12,21,25,35,38,217,0,0
2021-05-12,23,11,25,35,38,220,0,0
2021-05-11,14,16,29,32,37,218,0,0
2021-05-10,13,24,22,34,38,216,0,0
2021-05-09,17,27,21,31,39,220,0,0
2021-05-08,19,22,21,28,36,221,0,0
2021-05-07,22,22,27,30,36,222,0,0
2021-05-06,15,29,29,28,42,218,0,0
2021-05-05,24,28,26,30,47,214,0,0
2021-05-04,21,23,20,26,48,214,0,0
2021-05-03,18,26,16,25,54,211,0,0
2021-05-02,20,28,13,25,58,205,0,0
2021-05-01,22,24,17,20,60,201,0,0
2021-04-30,29,12,22,22,63,196,0,0
2021-04-29,18,17,25,21,60,196,0,0
2021-04-28,11,19,24,22,65,194,0,0
2021-04-27,12,21,13,22,71,190,0,0
2021-04-26,17,31,14,25,70,188,0,0
2021-04-25,15,23,11,31,69,186,0,0
2021-04-24,23,20,14,32,74,182,0,0
2021-04-23,20,16,18,30,73,187,0,0
2021-04-22,19,18,20,30,79,182,0,0
2021-04-21,13,14,20,27,79,180,0,0
2021-04-20,13,15,17,29,76,178,0,0
2021-04-19,17,14,18,27,76,177,0,0
2021-04-18,6,17,22,27,71,178,0,0
2021-04-17,17,14,25,29,66,177,0,0
2021-04-16,13,14,22,34,66,180,0,0
2021-04-15,15,17,16,37,60,178,0,0
2021-04-14,10,20,10,39,63,178,0,0
2021-04-13,14,24,15,34,59,180,0,0
2021-04-12,25,17,18,39,58,177,0,0
2021-04-11,16,10,20,39,53,181,0,0
2021-04-10,6,9,18,36,51,179,0,0
2021-04-09,10,14,21,34,48,179,0,0
2021-04-08,10,20,24,32,48,182,0,0
2021-04-07,18,13,26,35,43,183,0,0
2021-04-06,18,20,21,37,38,184,0,0
2021-04-05,14,28,23,43,38,187,0,0
2021-04-04,25,22,17,43,41,192,0,0
2021-04-03,15,23,25,38,44,191,0,0
2021-04-02,18,19,26,30,45,195,0,0
2021-04-01,21,16,29,30,46,195,0,0
2021-03-31,13,21,25,24,46,196,0,0
2021-03-30,24,21,25,19,46,196,0,0
2021-03-29,11,23,24,22,49,195,0,0
2021-03-28,17,22,26,23,47,193,0,0
2021-03-27,18,18,24,31,50,198,0,0
2021-03-26,22,18,13,30,55,191,0,0
2021-03-25,13,28,10,30,51,190,0,0
2021-03-24,22,27,11,35,50,190,0,0
2021-03-23,22,16,17,32,48,192,0,0
2021-03-22,18,8,19,33,59,194,0,0
2021-03-21,9,12,19,32,61,193,0,0
2021-03-20,8,19,18,30,64,192,0,0
2021-03-19,16,21,16,32,59,193,0,0
2021-03-18,13,26,19,34,63,194,0,0
2021-03-17,22,15,22,37,60,196,0,0
2021-03-16,16,19,21,32,56,197,0,0
2021-03-15,14,22,26,33,54,198,0,0
2021-03-14,22,17,21,36,55,197,0,0
2021-03-13,14,27,24,35,51,196,0,0
2021-03-12,23,22,19,32,51,197,0,0
2021-03-11,17,20,25,31,48,195,0,0
2021-03-10,15,22,26,37,46,203,0,0
2021-03-09,19,23,24,35,47,201,0,0
2021-03-08,18,22,21,37,45,203,0,0
2021-03-07,12,33,23,39,44,200,0,0
2021-03-06,19,29,23,38,43,198,0,0
2021-03-05,27,19,23,42,43,203,0,0
2021-03-04,13,18,18,38,41,206,0,0
2021-03-03,17,18,26,37,41,204,0,0
2021-03-02,16,20,20,34,45,206,0,0
2021-03-01,18,27,29,30,46,214,0,0
2021-02-28,21,26,27,21,47,214,0,0
2021-02-27,19,29,39,20,47,215,0,0
2021-02-26,14,30,27,22,47,214,0,0
2021-02-25,27,31,27,27,49,217,0,0
2021-02-24,16,28,17,23,45,218,0,0
2021-02-23,24,29,22,34,53,218,0,0
2021-02-22,15,29,21,29,51,220,0,0
2021-02-21,22,21,25,31,53,218,0,0
2021-02-20,13,22,24,31,51,219,0,0
2021-02-19,17,21,24,33,53,216,0,0
2021-02-18,21,21,25,34,51,219,0,0
2021-02-17,19,25,22,31,57,217,0,0
2021-02-16,25,35,25,28,55,214,0,0
2021-02-15,21,25,28,29,54,216,0,0
2021-02-14,17,19,28,28,54,215,0,0
2021-02-13,21,19,22,28,52,218,0,0
2021-02-12,18,29,23,30,50,217,0,0
2021-02-11,16,23,20,29,53,217,0,0
2021-02-10,23,18,23,31,54,218,0,0
2021-02-09,15,20,18,28,54,218,0,0
2021-02-08,14,22,17,32,53,220,0,0
2021-02-07,16,19,12,41,54,220,0,0
2021-02-06,15,22,16,37,54,219,0,0
2021-02-05,21,23,24,39,52,221,0,0
2021-02-04,16,15,27,39,52,216,0,0
2021-02-03,15,17,31,44,54,217,0,0
2021-02-02,14,22,23,38,50,219,0,0
2021-02-01,18,36,20,33,51,221,0,0
2021-01-31,24,39,28,34,55,222,0,0
2021-01-30,32,30,32,28,55,222,0,0
2021-01-29,25,17,32,31,61,222,0,0
2021-01-28,16,23,24,29,60,222,0,0
2021-01-27,10,32,22,33,63,217,0,0
2021-01-26,22,28,16,26,64,217,0,0
2021-01-25,26,26,21,25,60,219,0,0
2021-01-24,13,20,21,30,54,219,0,0
2021-01-23,20,17,25,36,51,221,0,0
2021-01-22,15,16,22,39,53,224,0,0
2021-01-21,16,25,16,37,56,223,0,0
2021-01-20,9,31,16,34,52,220,0,0
2021-01-19,25,26,15,36,51,223,0,0
2021-01-18,27,22,17,32,53,221,0,0
2021-01-17,22,17,22,28,55,222,0,0
2021-01-16,22,15,27,29,50,228,0,0
